feature_name,-label=ALL,-label=test,-label=train,pvalue
Age,61.77±9.62,61.98±9.54,61.68±9.66,0.6046765936054207
T,,,,0.5247785496686634
1.0,70(10.00),18(8.57),52(10.61),
2.0,300(42.86),87(41.43),213(43.47),
3.0,324(46.29),102(48.57),222(45.31),
4.0,6(0.86),3(1.43),3(0.61),
N,,,,0.18745660893234103
0.0,275(39.29),73(34.76),202(41.22),
1.0,304(43.43),97(46.19),207(42.24),
2.0,108(15.43),38(18.10),70(14.29),
3.0,13(1.86),2(0.95),11(2.24),
M,,,,0.42228747963461255
0.0,3(0.43),null,3(0.61),
1.0,696(99.43),210(100.00),486(99.18),
5.0,1(0.14),null,1(0.20),
Degree,,,,0.3377240196050084
0.0,502(71.71),157(74.76),345(70.41),
1.0,5(0.71),1(0.48),4(0.82),
2.0,33(4.71),13(6.19),20(4.08),
3.0,157(22.43),38(18.10),119(24.29),
4.0,3(0.43),1(0.48),2(0.41),
DU,,,,1.0
0.0,195(27.86),58(27.62),137(27.96),
1.0,505(72.14),152(72.38),353(72.04),
BILE,,,,0.43818480298681806
0.0,473(67.57),137(65.24),336(68.57),
1.0,227(32.43),73(34.76),154(31.43),
胰周脂肪,,,,0.6715618374101257
0.0,169(24.14),48(22.86),121(24.69),
1.0,531(75.86),162(77.14),369(75.31),
脉管癌栓,,,,0.36064128631831205
0.0,471(67.29),147(70.00),324(66.12),
1.0,229(32.71),63(30.00),166(33.88),
胰周神经,,,,0.3857040180681046
0.0,83(11.86),21(10.00),62(12.65),
1.0,617(88.14),189(90.00),428(87.35),
胰内神经,,,,0.44391697401350727
0.0,46(6.57),11(5.24),35(7.14),
1.0,654(93.43),199(94.76),455(92.86),
Sex,,,,0.6848598199817972
0,273(39.00),79(37.62),194(39.59),
1,427(61.00),131(62.38),296(60.41),
